,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,games_played,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,points_per_game,pp90,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,vapm,web_name,yellow_cards
251,0,0,19,0,0,0,,,0,0,0,0,1.8,320,112,,,0,2,0.0,0.0,0,Daniel,0.0,2,4,0,2.4,341,125,0,22.4,292,118,144,Hamstring injury - Unknown return date,2020-10-04T13:30:15.269052Z,40,0,0,,0,,0.0,0.0,0,0,Amartey,1.1,0,,i,9,13,0,345,122,0,39190,319,74572,6599,0.0,0.0,-0.5,Amartey,1
252,0,0,91,,,2,2,,0,0,-1,1,71.3,79,56,2,,0,3,2.2,1.7,2,Youri,1.7,6,8,1,24.3,70,41,0,122.6,53,17,540,,,64,0,0,3,0,,2.7,2.666666666666667,0,0,Tielemans,1.6,0,,a,9,13,49,116,64,16,66353,3651,109573,10554,0.3,2.5,0.10416666666666664,Tielemans,3
253,0,0,23,,,1,,,0,0,-3,3,36.8,148,90,,,0,3,1.5,1.0,0,Ayoze,1.0,4,4,0,17.4,123,67,0,33.0,263,106,280,,,62,0,0,2,0,,2.0,2.571428571428571,0,0,Pérez,1.1,0,,a,9,13,103,49,27,8,24907,755,180777,9810,0.2,1.3,0.0,Pérez,1
254,0,0,0,100,100,0,5,,0,0,-2,2,0.0,557,226,4,,0,3,0.5,0.0,0,Demarai,0.0,0,0,0,0.0,566,226,0,0.0,562,226,0,,2020-09-25T21:00:14.856498Z,53,0,0,,0,,0.0,0.0,0,0,Gray,0.1,0,,a,9,13,0,553,223,0,1573,108,10910,370,0.0,0.0,0.0,Gray,0
255,1,1,42,100,100,1,1,,0,0,0,0,45.8,128,79,1,,0,3,1.5,1.0,2,James,1.0,5,3,1,12.4,184,90,0,40.2,235,94,170,,2020-10-04T13:30:15.292081Z,70,0,0,4,0,,3.0,7.9411764705882355,0,0,Maddison,2.3,0,,a,9,13,41,147,81,15,232720,14686,201024,16834,0.1,2.1,0.14285714285714285,Maddison,1
256,0,0,12,,,1,,,0,0,-3,3,38.1,146,20,,,0,4,1.5,1.0,0,Kelechi,1.0,3,1,0,7.6,261,36,0,8.6,338,36,101,,,57,0,0,5,0,,1.3,3.5643564356435644,0,0,Iheanacho,0.3,0,,a,9,13,29,183,38,4,9549,746,37081,2394,0.2,0.7,-0.11695906432748539,Iheanacho,0
257,0,0,8,,,0,,,-1,1,-2,2,1.6,327,164,,,0,3,1.2,0.7,0,Hamza,0.7,2,1,0,0.5,381,172,0,3.2,369,166,13,,,48,0,0,,0,,1.0,13.846153846153847,0,0,Choudhury,0.1,0,,a,9,13,0,498,202,2,1532,256,4079,276,0.1,0.4,-0.20833333333333334,Choudhury,0
258,1,3,66,,,2,,,0,0,0,0,56.3,106,70,,,0,3,2.8,2.3,3,Harvey,2.3,6,8,1,37.2,31,16,0,92.8,103,38,524,,,70,0,0,,0,,4.2,4.293893129770993,0,0,Barnes,4.4,0,,a,9,13,223,14,6,25,432655,9569,410562,50168,0.3,3.6,0.3095238095238096,Barnes,0
259,0,0,29,0,0,1,,,-1,1,-2,2,1.5,329,166,,,0,3,0.0,0.0,0,Wilfred,0.0,2,2,0,4.9,304,141,0,47.8,212,85,180,Groin Injury - Expected back 19 Dec,2020-09-23T14:00:18.236626Z,48,0,0,,0,,2.5,2.5,0,0,Ndidi,0.7,0,,i,9,13,0,500,204,5,17833,115,125641,3615,0.0,1.0,0.10416666666666667,Ndidi,0
260,0,0,0,0,0,0,,,-1,1,-2,2,0.0,411,166,,,0,2,0.0,0.0,0,Filip,0.0,0,0,0,0.0,434,167,0,0.0,430,168,0,Joined Cardiff City on loan until the end of the season on 16/10. - Expected back 01 Jul,2020-09-11T16:00:17.923567Z,43,0,0,,0,,0.0,0.0,0,0,Benkovic,0.0,0,,n,9,13,0,377,148,0,165,7,4283,139,0.0,0.0,0.0,Benkovic,0
